,tweet_id,retweet_count,favorite_count
245,843604394117681152,2484,15731
246,843235543001513987,5427,20001
247,842846295480000512,3318,14233
248,842765311967449089,1177,6303
249,842535590457499648,3187,16941
250,842163532590374912,5268,22768
251,842115215311396866,2763,13052
252,841833993020538882,13598,0
253,841680585030541313,7169,24066
254,841439858740625411,3334,11754
255,841320156043304961,5027,18443
256,841314665196081154,4243,14766
257,841077006473256960,4893,21361
258,840761248237133825,1622,0
259,840728873075638272,14616,0
260,840698636975636481,2,165
261,840696689258311684,891,11499
262,840632337062862849,1622,8440
263,840370681858686976,4185,15354
264,840268004936019968,5226,17925
265,839990271299457024,2072,12551
266,839549326359670784,7085,25617
267,839290600511926273,132,0
268,839239871831150596,5951,25269
269,838952994649550848,3667,18397
270,838921590096166913,1858,10435
271,838916489579200512,31,0
272,838831947270979586,10051,0
273,838561493054533637,1234,10259
274,838476387338051585,4352,21000
275,838201503651401729,9218,0
276,838150277551247360,304,1569
277,838085839343206401,1,133
278,838083903487373313,2849,16489
279,837820167694528512,7169,31881
280,837482249356513284,408,3614
281,837471256429613056,2065,12005
282,837110210464448512,2184,15078
283,836989968035819520,2119,11966
284,836753516572119041,4271,18153
285,836677758902222849,2025,11863
286,836648853927522308,508,0
287,836397794269200385,25131,0
288,836380477523124226,2748,13926
289,836260088725786625,3984,19980
290,836001077879255040,3903,17903
291,835685285446955009,7432,0
292,835574547218894849,3305,16680
293,835536468978302976,1547,0
294,835309094223372289,19198,0
295,835297930240217089,2747,15451
296,835264098648616962,1547,7244
297,835246439529840640,63,1991
298,835172783151792128,5302,24603
299,835152434251116546,2763,20982
300,834931633769889797,1494,10120
301,834786237630337024,5114,20251
302,834574053763584002,2316,12826
303,834477809192075265,9786,0
304,834458053273591808,1549,9044
305,834209720923721728,4338,19280
306,834167344700198914,3370,14855
307,834089966724603904,1969,9464
308,834086379323871233,2044,12258
309,833863086058651648,2215,12645
310,833826103416520705,3492,17095
311,833732339549220864,205,0
312,833722901757046785,3000,19717
313,833479644947025920,1894,14030
314,833124694597443584,4451,19011
315,832998151111966721,2024,12451
316,832769181346996225,38,0
317,832757312314028032,3323,15871
318,832682457690300417,2668,11159
319,832645525019123713,485,2743
320,832636094638288896,2565,14918
321,832397543355072512,2038,11258
322,832369877331693569,2926,16103
323,832273440279240704,2149,10667
324,832215909146226688,5733,0
325,832215726631055365,8600,0
326,832088576586297345,2,59
327,832040443403784192,8836,0
328,832032802820481025,4305,16786
329,831939777352105988,5662,22501
330,831926988323639298,34,319
331,831911600680497154,5991,25881
332,831670449226514432,1690,9799
333,831650051525054464,1790,6690
334,831552930092285952,2163,8465
335,831322785565769729,1447,8756
336,831315979191906304,1039,6180
337,831309418084069378,2272,11108
338,831262627380748289,1894,11178
339,830956169170665475,1378,7520
340,830583320585068544,15434,62514
